user_id,booking_id,show_id,booking_date,total_tickets,payment_status,name,email,phone_number,date_of_birth,payment_method,transaction_status,payment_date,movie_id,theater_id,screen_id,show_date,start_time,price_per_ticket,available_seats,title,genre,language,Recency,Frequency
US_543,BK_1,SH_6385,26-07-2025 19:40,2,Completed,Kenneth Edwards,KennethEdwards@gmail.com,8327086789,08-06-1965,Credit Card,Success,26-07-2025 19:40,MV_1815,TH_225,SC_611,06-04-2023,16:45:00,405.44,164,Bit,Action,English,157,2
US_2440,BK_2,SH_217,31-05-2024 11:52,1,Completed,Amanda Johnson,AmandaJohnson@gmail.com,7230004701,18-07-1993,Debit Card,Failed,31-05-2024 11:52,MV_8761,TH_496,SC_807,09-10-2024,13:45:00,489.34,118,Man evidence woman,Thriller,Kannada,578,2
US_4022,BK_3,SH_431,05-06-2025 22:58,2,Completed,Linda Berry,LindaBerry@gmail.com,7330013150,28-04-1961,Wallet,Success,05-06-2025 22:58,MV_174,TH_352,SC_354,15-03-2023,21:45:00,423.15,191,Up on,Comedy,Telugu,208,2
US_393,BK_4,SH_6573,11-05-2024 03:39,1,Completed,Brian Smith,BrianSmith@gmail.com,9487785408,05-10-1954,Wallet,Success,11-05-2024 03:39,MV_9206,TH_361,SC_381,09-05-2024,10:00:00,189.86,185,Information although,Romance,Bengali,598,1
US_8593,BK_5,SH_4680,21-09-2024 04:57,1,Completed,Eric Marks,EricMarks@gmail.com,9058562619,24-03-1978,Wallet,Success,21-09-2024 04:57,MV_4084,TH_180,SC_871,10-05-2024,10:30:00,327.8,102,First interest,Comedy,Hindi,465,1
US_1987,BK_6,SH_500,19-03-2024 02:24,2,Completed,Robert Walker,RobertWalker@gmail.com,7877905443,18-08-1961,UPI,Success,19-03-2024 02:24,MV_8562,TH_295,SC_408,23-05-2024,11:15:00,370.6,62,Either arrive,Comedy,Bengali,249,2
US_9127,BK_7,SH_8457,30-09-2024 23:31,4,Completed,Michael Goodman,MichaelGoodman@gmail.com,9202984730,13-07-1957,Net Banking,Success,30-09-2024 23:31,MV_1824,TH_60,SC_550,13-11-2024,21:15:00,230.6,195,Far sea scientist,Sci-Fi,English,188,4
US_5127,BK_8,SH_6467,05-03-2024 10:28,2,Completed,Joshua White,JoshuaWhite@gmail.com,8476855294,28-12-1999,Net Banking,Success,05-03-2024 10:28,MV_6603,TH_331,SC_314,21-09-2023,12:15:00,474.57,123,Lawyer call visit,Comedy,Hindi,64,3
US_5951,BK_9,SH_365,20-08-2025 12:17,4,Completed,Richard Burke,RichardBurke@gmail.com,7338681851,06-09-1999,Debit Card,Failed,20-08-2025 12:17,MV_297,TH_480,SC_792,31-10-2023,17:00:00,363.44,196,City memory,Drama,Kannada,132,2
US_2851,BK_10,SH_2314,28-12-2025 13:57,1,Failed,David Williams,DavidWilliams@gmail.com,7827168257,01-09-1971,Wallet,Success,28-12-2025 13:57,MV_7828,TH_422,SC_467,30-03-2024,14:45:00,486.87,139,College today,Sci-Fi,English,2,1
US_2505,BK_11,SH_3671,28-12-2025 06:16,4,Completed,Joseph Jackson,JosephJackson@gmail.com,7029422222,11-09-2001,Net Banking,Refunded,28-12-2025 06:16,MV_475,TH_105,SC_75,03-12-2023,21:00:00,396.66,59,Green item,Action,Malayalam,2,1
US_7550,BK_12,SH_361,23-07-2025 10:01,4,Completed,Janet Flowers,JanetFlowers@gmail.com,8065910728,10-07-1992,Debit Card,Failed,23-07-2025 10:01,MV_7722,TH_395,SC_242,31-08-2023,10:45:00,245.15,70,Loss sometimes way century,Comedy,Tamil,160,1
US_737,BK_13,SH_69,22-03-2024 03:47,4,Completed,Charles Turner,CharlesTurner@gmail.com,8530329873,15-11-1982,Credit Card,Success,22-03-2024 03:47,MV_8477,TH_483,SC_389,06-04-2024,17:30:00,394.91,110,Call successful them,Drama,Tamil,12,2
US_1212,BK_14,SH_934,29-04-2025 17:29,2,Completed,Heather Bowers,HeatherBowers@gmail.com,8248655346,21-12-1955,Credit Card,Success,29-04-2025 17:29,MV_4500,TH_311,SC_555,15-06-2023,16:45:00,382.98,98,Defense investment,Sci-Fi,Tamil,245,3
